LABEL,JOB\NOT JOB
"Dear Connections!

#EY is *Hiring* 

✅ Apply Link :- https://lnkd.in/dE2asCNV

#Fresher #experienced candidates for work-from-home jobs

 *Salary* : 3 to 18 LPA

Multiple Positions-30 for *Freshers* and *Graduates* can *apply* 
150+ Vacancies Available

Comment ' #YES ' and like the post.

I will go through your account and message you if your profile matches.

#hiring #thankyou #linkedin #comment #jobopportunities
#jobs #india #letsconnect",1
"פיטרנו לקוח של רבע מיליון דולר אחרי שלקח לנו חצי שנה לסגור את העסקה החלטנו לעצור הכל ולשים אותה בהולד.

זה נשמע כמו התאבדות עסקית, אבל זו הייתה ההחלטה הכי מדויקת שקיבלנו.

אז בהתחלה היינו בראש של עושים מה שצריך לא משנה, פאונדר אמיתי לא מוותר. ואחרי שכל הצוות עבד מסביב לשעון עוד שלשה חודשים להרים את כל האינטגרציה (או בעברית צנרת), הבנו שאנחנו רק בתחילת מהמסע.

כי החלק הקשה הוא לא הצנרת.
החלק הקשה הוא ""התורה שבעל פה"". המייל האחרון.

בכל ארגון היא ייחודית, ובכל תפקיד היא חד פעמית.
המודל אולי יודע לנתח אקסלים כמו דוקטורנט לפיזיקה, אבל ללקוח ספציפי יש גרסה בסיילספורס שמי שכתב אותה כבר מזמן לא עובד בחברה.

מצאנו את עצמנו בתסכול ענקי, כי לא היו לנו הכלים לתת ללקוח לתרגם את התורה שבעל פה שלו לעובד ה-AI שהוא צריך.

הבנו שכמה שהAI חכם בלי הפיצוח של המייל האחרון, האנושי והספציפי, זה פשוט לא יעבוד.

וזה בדיוק מה שגרם לנו לחשב מסלול מחדש, ולבנות את הגרסה הבאה של מיינדד.

וזה כבר שווה הרבה יותר מעסקה אחת",0
"נפתחה משרה חדשה באנבידיה!
אני מחפשת VLSI Program Manager.

אם את/ה אוהב/ת לראות את התמונה הרחבה, להוביל תהליכים מורכבים מקצה לקצה, לתכלל בין צוותים שונים ולהניע אנשים ופרויקטים קדימה – זו יכולה להיות ההזדמנות בשבילך.

מחפשת מישהו/י עם רעב אמיתי לפתרון בעיות, חשיבה יצירתית, סקרנות טכנולוגית ושימוש ב-AI כדי לייעל תהליכים ולקדם חדשנות.

לעוד פרטים ולהגשת מועמדות אפשר להיכנס לקישור, או פשוט לשלוח לי הודעה בפרטי. 😊

https://lnkd.in/d6CxG_ka

Lior Weiss Omer Itzikovich Rinat Shmuli Hadar Tal Inbal Hochner",1
"WORK WITH ME HERE, PEOPLE! I'm on the quest for a skilled C# engineering manager to join my team at Rockstar Games. Gotta be an experienced developer (not necessarily in gaming); gotta be in the New York area (we'll help you relocate, if you're willing); gotta be willing to be a part of the future of world-class open-world gaming (and willing to work with me). 

Read more and apply here: https://lnkd.in/eTdJ3A5t",1
"We’re hiring for our product team at Rockstar Games! 

If you have experience building digital storefronts and commerce platforms, check out our Associate Principal Product Manager, Commerce role here: https://lnkd.in/enng-H9h

This is a full-time, in-office position based out of Rockstar’s NYC headquarters in Downtown Manhattan. 

Come join us and deliver world-class player experiences!",1
"🚀 Customer Enablement Team Lead | Hybrid

אחת המשרות הכי מעניינות שנפתחו אצלי לאחרונה!
לחברת טכנולוגיה גלובלית ומצליחה דרוש/ה Customer Enablement Team Lead להובלת תחום ה-Post-Sales Enablement.
🎯 מה בתפקיד?
• בניית Playbooks, תוכניות הכשרה ומתודולוגיות עבודה
• הובלת Onboarding והטמעת פיצ'רים חדשים
• עבודה צמודה עם צוותי Product, GTM, Customer Success ו-Operations
• השפעה אמיתית על האופן שבו ארגון גלובלי עובד, לומד וצומח
✅ מתאים למי שמגיע/ה מעולמות ה-Enablement בחברת SaaS בשלב Scale/Post-Scale

📍 היברידי | אזור תל אביב

מכירים מישהו/י מצוין/ת? אשמח לחיבור בפרטי 🙌
שלחו אליי פרטים- hadarws@experteam.co.il

#CustomerEnablement #Enablement #EnablementLeader #PostSales #GTM #GoToMarket #RevenueEnablement #SalesEnablement #CustomerSuccess #SaaS #B2BTech #TechJobs #LeadershipHiring #Hiring #NowHiring",1
"תמצאו את הגילטי פלז׳ר שלכם כשאתם מחפשים עבודה . אצלי לגמרי זה היה 3 פרקים כל יום וברצף של Chicago fire, Chicago med, Chicago PD


",0
"I'm happy to share that I’ve started a new position as Head of Operations at Tego AI

So excited for this next chapter!🚀",1
"
בתיכון קיבלתי 0 במחשבים. היום אני Data Engineer. (כן, המורה לאה, אני יודעת שאת קוראת את זה ולא מאמינה).

אז כשאני מדברת על פחד מכישלון, אני לא מדברת עליו ברמה התיאורטית🙃. 
בעבר, הכשלון הזה כל כך השפיע עליי, עד שהייתי בטוחה שאני גרועה ושלעולם לא אצליח לכתוב שורת קוד אחת טובה. 

אבל רגע, איך מגיעים מלהנדס נתונים לפסיכולוגיה חיובית? לפני שלוש וחצי שנים הבן שלי נולד. פתאום התחלתי לחפש משמעות. (כן, כן קלישאתי. אני יודעת). אז הלכתי ללמוד פסיכולוגיה חיובית.

אחד הדברים שהבנתי במהלך הלימודים הוא שכישלון הוא בסך הכל שלב בדרך, לא התחנה האחרונה ובטח שלא מה שמגדיר אותנו.
קחו לדוגמה את תהליך חיפוש העבודה. כולנו מכירות את המייל האוטומטי של ""החלטנו להתקדם עם מועמדים אחרים״.
המייל הזה ישר זורק אותנו ללופ של מחשבות אוטומטיות שמשתקות אותנו. ״אין לי מספיק ניסיון״, ״אני לא טובה בx”.
שכחנו שדחייה היא בסך הכל עוד שלב בדרך, שהיא לא מגדירה אותנו ובטח שלא קובעת אם אנחנו טובות/ מתאימות לתפקיד באופן כללי.

בשבוע הבא אני מתארחת בקהילת נשים משלבות נשים בהייטק לוובינר בדיוק על זה, על הדבר שהכי תוקע אותנו בקריירה: הפחד מכישלון והימנעות מכשלון.
אנחנו נדבר תכלס. נלמד איך מזהים את הלופ הזה של המחשבות האוטומטיות (אלה שאומרות לך ""את לא מספיק טובה"" ברגע שחברה לא חוזרת אלייך אחרי ששלחת לה קורות חיים), ואיך עוצרים אותו ויוצאים ממנו בעזרת כלים של פסיכולוגיה חיובית.

הלינק להרשמה בתגובה הראשונה.

ובינתיים - מה הציון הכי נמוך שקיבלתם פעם במשהו שאתם עובדים בו היום?",0
"מה הסיכוי שהסטארטאפ שאתם עובדים בו יצליח בענק?
אם תשאלו את ה־VCs, בערך אחד ל־20.

כלומר, 95% ממי שקורא את הפוסט הזה לא יקנה שתי דירות לילדים בעוד שנתיים.

הקרנות מכירות את זה טוב מאוד.
זה נקרא ה־Power Law, ועליו בנוי כל מודל ה־VC:

• 50%–60% מהחברות שישקיעו בהן ייסגרו.
• 30%–40% יימכרו בהפסד או ברווח קטן.
• רק 5% יניבו תשואה מעריכית של פי 20 עד 100 מההשקעה.

וזה כל מה שהן צריכות.
""הום ראן"" אחד שיכסה על כל השאר.

פיטר ת'יל, המייסד של PayPal והמשקיע האגדי (ב־Meta, OpenAI, SpaceX, Stripe...) מאמין שבגלל ה־Power Law, משקיעים צריכים לחפש ""עופות מוזרים"", פאונדרים לא שגרתיים שחושבים בגדול.
כי אם הפאונדר שלכם בחור רגיל עם רעיונות רגילים, אתם לא תהיו ב־5%.

זו הסיבה שלפעמים קשה עם פאונדרים:
""הם ראש בקיר"", ""הם לא מציאותיים"".
יופי! תנו להם לחלום!
התפקיד שלנו, העובדים, הוא לבנות תהליכים שממירים חלומות להצלחה.

ואולי לזכות להיות ב־5%.",0
"יום בחיי מגייסת יחידה בחברת הייטק צומחת אחראית על 10 משרות 🤯


בא לי עוד אנשים מוכשרים שייכנסו לי ללו״ז! ממשיכים לגייס מלא משרות שוות בירושלים ובתל אביב 🏙️

 
- Executive Assistant (Jerusalem) 
- Director of Business Applications  
- Prompt Engineer 
- Junior SW Engineer 
- Senior Backend Engineer 
- Mid-Level Frontend Engineer 
- Director of Product 
- FP&A Analyst",1
"כולם מדברים על AI.
על סקיילינג.
על גיוסים.

אצלנו בצוות יש Head of AI אחד שלא מופיע בפרזנטציות 🐶
טימי, הכלב שלי.

כן, הוא כבר הטמיע את הטכנולוגיה הכי חזקה היום 
 MCP (More Coffee Please) ☕️
בפועל? הוא בעיקר הטמיע אותה על הכיסא שלי בישיבות.
כבר עבר onboarding ומוודא שהאנרגיות בצוות נשארות גבוהות.

ועכשיו ברצינות 🙂
אנחנו ממשיכים לגדול, ואני מחפשת לצרף לצוות שלי רכזי  ורכזות גיוס שרוצים להיכנס לעולם הטכנולוגי, ללמוד, לצמוח ולעבוד בסביבה דינמית עם הרבה עשייה.

אם אתם לא מתחילים יום בלי קפה יש מצב שתשתלבו אצלנו מעולה ☕️🚀
דברו איתי!",1
"
האם ניסיתם פעם לפרוץ את חומת זכויות היוצרים של ה-AI, רק כדי לגלות שהיא חסינה יותר מהמגן של קפטן אמריקה?

בהשראת Omri Marcus, החלטתי לאתגר את המערכת...כפול 100. ביקשתי מה-AI להשתיל את עצמי בכל דמות אפשרית במועצת הקאנגים - טיזר ה-mid-credits המפורסם מאחד מסרטי Marvel.
מקווה שלא נורא שהתעסקתי עם זה, בהתחשב בכך שהטיזר לא יתממש עקב הגלייתו של השחקן ג'ונתן מייג'ורס ליקום אחר.

כאן הגיע המכשול האמיתי. וידאו ה-AI מפעיל צנזורה קשוחה של זכויות יוצרים. מספיק שרק תחשבו על מותג מוכר - והשער כבר ינעל. האתגר שלי היה לטפס במהירות מהחלון (פירטתי בתגובה הראשונה).

התוצאה הסופית מוכיחה שהוליווד אולי לא צריכה להזיע עדיין - אבל השעון בהחלט מתקתק. ⏳

הרבה אנשים נתקעים מול חסמים טכניים ב-AI ומרימים ידיים. יותר גרוע, הם עושים דברים לא נכונים.
הערך פה לא בהכרח הווידאו עצמו, אלא הרעיון של למנף מה שקיים, ולמצוא את החלון כשהדלת ננעלת.

מה הסרטון הראשון שהייתם מייצרים אם לא היו מגבילים אתכם?",0
"נראה שנגעתי במשהו אמיתי ונכון.. 
אז הנה המשרות הפתוחות אצלנו
כמובן הכל דיסקרטי, משרות בגופים ביטחוניים וחברות ביטחוניות.

אם משהו יכול לסקרן, בואו נדבר.
sharon.ofer@aran-rd.com
jobs.aran@adamtotal.co.il
ואם לא מצאת את עצמך פה, כל הזמן נפתחות משרות חדשות, שווה להיות בקשר 🙃  

פיתוח תוכנה:
Senior Full Stack (C#+Angular) | Frontend Architect (Angular) | Senior Software (Python) | Senior Software (C++) | Senior Software (C# .NET) | Embedded Real Time | Embedded AI/ML | Data Engineer

סייבר ואבטחה:
 Application Security | Penetration Testing & Red Team Team Lead | Network Security | Identity & Access Management | Information Security Developer | OSINT

תשתיות:
Linux Team Lead | Big Data infrastructure Engineer | Collaboration Engineer | Identity & Access Management | Storage and Backup Specialist | DBA PostgreSQL

#כולא_לייק #דרושים #ביטחוני #הייטק #גיוס #TechJobs #Defense #Hiring

ARAN Software Aran R&D Gilad HokmanEtti Rosenberg Yulia Vainer Karen Adi Ruvio
https://lnkd.in/ecQd2phq",1
"A realization from 4 months of job searching:

Every interview I've had has come through a person.

Not a perfectly optimized resume. Not a cover letter. Not an AI prompt.
A person.

Job applications today can feel like a race. Hundreds of applicants, countless resumes, and an increasing amount of content generated by AI. Recruiters are sorting through an overwhelming volume of candidates, while applicants are doing everything they can to stand out. I've been fortunate enough to make it to several final rounds during my search, and every one of those opportunities started with a conversation, a referral, or someone willing to take a few minutes to help.

That's not to say resumes don't matter. They do. But this experience has reminded me that relationships still matter more.

So if you're hiring, keep reaching out to people you trust.

And if you're searching, don't spend all your time clicking ""Apply."" Spend some of it talking to people.

It's made all the difference for me.

Speaking of, I'm still on the job market. If anyone is looking for a kick ass producer, or just to chat, feel free to hit me up :)",0
"אנבידיה מגייסת – Automation Infrastructure Engineer — משרה ביקנעם/רעננה/תל אביב! 🚀

נדרש ניסיון — תפקיד מצוין למי שאוהב Python, Automation ותשתיות מורכבות 💚

אם אתם רוצים לעבוד על תשתיות Automation עבור DOCA ו-DPU, להשפיע על תהליכי Verification ולבנות מערכות שמשמשות צוותי פיתוח בקנה מידה עולמי — זו הזדמנות מעולה.

מה תעשו?

• פיתוח תשתיות וכלי Automation עבור מערכות Verification
• פריסה והרצה של בדיקות על מערכות הפעלה וארכיטקטורות שונות (x86, ARM, Linux, Windows ועוד)
• בניית כלים לניתוח, ויזואליזציה והצגת תוצאות בדיקות
• פיתוח פתרונות יצירתיים לאתגרים טכנולוגיים מורכבים
• עבודה על תשתיות שתומכות בדור הבא של DPU ופתרונות Networking

דרישות:

✅ תואר ראשון במדעי המחשב
✅ 3+ שנות ניסיון ב-Automation Infrastructure
✅ שליטה גבוהה ב-Python
✅ יכולות Debugging, ניתוח ופתרון בעיות ברמה גבוהה
✅ אנגלית ברמה גבוהה
✅ יכולת עבודה עצמאית, סדר וארגון
✅ עבודת צוות ויחסי אנוש מצוינים

יתרון:

⭐ היכרות עם Linux
⭐ רקע במערכות הפעלה
⭐ ידע בפיתוח תוכנה, Embedded Software ו-Networking
⭐ ניסיון בפיתוח AI Pipelines

הזדמנות לעבוד על תשתיות Automation מתקדמות שמשפיעות על מוצרי DPU ו-Data Centers מהמתקדמים בעולם 💚

👇 ניתן להגיש מועמדות דרך הקישור בפוסט

#NVIDIA #Hiring #Automation #Python #Infrastructure #DOCA #DPU #Networking #SoftwareEngineer #NVIDIAJobs
#כולא_לייק #תכנות #הייטק #אנבידיהVVVVVVV",1
"Stanford + Meta has recently dropped a paper that flips everything about AI agents.

It's called ""Code as Agent Harness.""

Right now, we treat large language models as text generators. When they need to solve a complex problem, they rely on a ""chain of thought.""

But natural language is slippery. It's vague. It loses context. When an agent hallucinates in English, it just keeps talking.

So they introduced a framework that changes the entire architecture of autonomy: ""Code as Agent Harness.""

They stopped asking the AI to reason in words, and forced it to reason in code.

Code isn't just the final output anymore. It is the memory. It is the environment. It is the boundary.

Instead of writing a paragraph about how to solve a problem, the agent writes a script, executes it, and reads the output.

Tests become its senses. Execution logs become its memory. Sandboxes become its physics.

If an agent makes a mistake in English, it apologizes and hallucinates again.

If an agent makes a mistake in code, the compiler throws an error. The trace tells it exactly what broke. The system forces it to fix it.

This is where prompt engineering dies, and systems engineering takes over.

The paper proves that reliability doesn't come from a smarter base model. It comes from the ""harness"" wrapped around it:

- The model proposes.

- The harness executes.

- The environment returns feedback.

- The verifier checks

Read the paper from the link in the comments!",0
"אחרי תקופה ארוכה ומדהימה ב-Wix, הפרק שלי הגיע לסיומו בעקבות גל הפיטורים.

ויקס היא חברה יוצאת דופן וארגון שלא מפסיק לתרום ולעשות למען הקהילה. זכיתי לעבוד לצד אנשים סופר מוכשרים שהפכו לחברים, ואני משאירה מאחוריי צוות מדהים שזכיתי לנהל. Mor Reuveni Vitali Riskin Hadar Soroka Riham Kharoub Marijne Verhoef Linoy Shalem Matan Shomer Yuval Zelikovitz May Goldshtain Yinon Kalili Nathalie Toledano Yafit Avazov Debi Codriansky
Vadim kravets Matanya Dayfani

הימים האחרונים בעיקר חידדו אצלי את ההבנה שבתעשייה שלנו, דווקא ברגעים מורכבים של שינויים ופרידות, החלק הכי חשוב הוא לשמור על אנושיות, שקיפות והוגנות.

ועכשיו – לאתגר הבא. אני מחפשת את המקום הבא שזז מהר, שבו כולם רצים יחד לעבר מטרות משותפות ושידע למנף את השילוב המקצועי שלי: הובלה של מוצרים מורכבים מאפס, ניהול צוותים חזקים, וגישור על הפער בין עיצוב לפיתוח.
אם אתם מכירים משהו רלוונטי, דברו איתי 💙",1
"פוסט על עיתוי.. או יותר נכון Lack of it.. 
כבר שלושה שבועות שאני יושבת מול המקלדת, באה לכתוב משהו, ועוצרת. פשוט כי העיתוי לא מאפשר. אנחנו בלופ מתמשך של ""הותר לפרסום"", סבבי לחימה, אזעקות ומעברים חדים בין שגרת חירום לשגרה רגילה שמכים בנו כמו גלים בים. וכל זה כשברקע עוד ועוד גלי פיטורים שממשיכים להתפרסם בתעשייה.

​בתוך כל הרעש הזה, פשוט לא הרגיש לי נכון לשתף. לא על העשייה והפרויקטים, לא על אירועים שהרמנו, לא על התקופה העמוסה הזו של השנה, ולא על האתגרים הכל כך אמיתיים שניהול שגרה כזאת מביא איתו. כל ניסיון לכתוב על עבודה הרגיש פתאום מנותק מהמציאות הכללית.
​אז אולי זה לא הפוסט הקלאסי עם השורות התחתונות וה""בשר"", אבל זה פוסט על החיים עצמם, על עיתוי או יותר נכון Lack of it... 

ובכל זאת בוחרת לסיים עם שמץ של אופטימיות✌️
Mobileye",0
